familia_nombre,modelo,precio_venta,precio_costo,stock_actual,stock_minimo,imagen_especifica,visible_en_catalogo,activo
PRENSA CLUTCH,cb 110 / neo 110,33000,17155,368,2,/productos/prensa-clutch-cb-110-/-neo-110.jpg,true,true
PRENSA CLUTCH,cb125,36000,17510,260,2,/productos/prensa-clutch-cb125.jpg,true,true
PRENSA CLUTCH,cbf 150 / invicta 150 /xr 150,36000,17736,27,2,/productos/prensa-clutch-cbf-150-/-invicta-150-/xr-150.jpg,true,true
PRENSA CLUTCH,discover 125 st,35000,18000,62,2,/productos/prensa-clutch-discover-125-st.jpg,true,true
PRENSA CLUTCH,dr 150,39000,17385,166,2,/productos/prensa-clutch-dr-150.jpg,true,true
PRENSA CLUTCH,eco deluxe,31000,17558,2,2,/productos/prensa-clutch-eco-deluxe.jpg,true,true
PRENSA CLUTCH,tvs 100,36000,15302,170,2,/productos/prensa-clutch-tvs-100.jpg,true,true
PRENSA CLUTCH,xtz 125,34000,16444,287,2,/productos/prensa-clutch-xtz-125.jpg,true,true
REGULADOR,akt 110,12000,5736,361,2,/productos/regulador-akt-110.jpg,true,true
REGULADOR,akt nkd 125,12000,5736,353,2,/productos/regulador-akt-nkd-125.jpg,true,true
RELAY,eco deluxe,8500,4016,1491,2,/productos/relay-eco-deluxe.jpg,true,true
RELAY,universal,9500,5121,990,2,/productos/relay-universal.jpg,true,true
RELAY,xtz 125 / ybr 125 / libero 125,14500,7824,1265,2,/productos/relay-xtz-125-/-ybr-125-/-libero-125.jpg,true,true
SWITCH ENCENDIDO,akt 125 nkd,10500,5400,0,2,/productos/switch-encendido-akt-125-nkd.jpg,true,true
SWITCH ENCENDIDO,ax 4,27000,13910,275,2,/productos/switch-encendido-ax-4.jpg,true,true
SWITCH ENCENDIDO,boxer ct / platino 100,18500,9873,171,2,/productos/switch-encendido-boxer-ct-/-platino-100.jpg,true,true
SWITCH ENCENDIDO,cb 110 / neo 110,17000,9043,631,2,/productos/switch-encendido-cb-110-/-neo-110.jpg,true,true
SWITCH ENCENDIDO,cb 125f,22500,10430,195,2,/productos/switch-encendido-cb-125f.jpg,true,true
SWITCH ENCENDIDO,crypton t-115 fi,34000,13910,237,2,/productos/switch-encendido-crypton-t-115-fi.jpg,true,true
SWITCH ENCENDIDO,discover 125st-150,19000,9873,180,2,/productos/switch-encendido-discover-125st-150.jpg,true,true
SWITCH ENCENDIDO,dr 150,26000,12864,267,2,/productos/switch-encendido-dr-150.jpg,true,true
SWITCH ENCENDIDO,eco deluxe,20000,10780,681,2,/productos/switch-encendido-eco-deluxe.jpg,true,true
SWITCH ENCENDIDO,tvs 100,27000,13910,273,2,/productos/switch-encendido-tvs-100.jpg,true,true
SWITCH ENCENDIDO,vivar 115,35000,18081,81,2,/productos/switch-encendido-vivar-115.jpg,true,true
SWITCH ENCENDIDO,xtz 125 e,18500,9873,79,2,/productos/switch-encendido-xtz-125-e.jpg,true,true
SWITCH RUN,2 cables,3000,1483,1654,2,/productos/switch-run-2-cables.jpg,true,true
SWITCH RUN,3 cables,3000,1483,711,2,/productos/switch-run-3-cables.jpg,true,true
TAPA GASOLINA,akt nkd 125,23000,12744,254,2,/productos/tapa-gasolina-akt-nkd-125.jpg,true,true
TAPA GASOLINA,eco deluxe,25000,14136,165,2,/productos/tapa-gasolina-eco-deluxe.jpg,true,true
TROMPO STOP,paquete x10,18000,840,951,2,/productos/trompo-stop-paquete-x10.jpg,true,true
